iter	Passed	Remaining
1074	19758	13325
1075	19773	13304
1076	19788	13284
1077	19804	13264
1078	19824	13247
1079	19842	13228
1080	19859	13209
1081	19874	13188
1082	19890	13168
1083	19906	13148
1084	19922	13128
1085	19939	13109
1086	19959	13091
1087	19976	13072
1088	19991	13052
1089	20006	13031
1090	20022	13011
1091	20039	12992
1092	20055	12972
1093	20069	12951
1094	20086	12932
1095	20102	12912
1096	20118	12892
1097	20134	12872
1098	20152	12854
1099	20168	12834
1100	20184	12814
1101	20199	12794
1102	20217	12775
1103	20234	12756
1104	20249	12736
1105	20267	12717
1106	20284	12698
1107	20302	12680
1108	20319	12660
1109	20334	12640
1110	20352	12621
1111	20367	12601
1112	20382	12580
1113	20400	12562
1114	20416	12543
1115	20433	12524
1116	20449	12504
1117	20465	12484
1118	20480	12464
1119	20495	12443
1120	20511	12424
1121	20527	12404
1122	20541	12383
1123	20556	12363
1124	20572	12343
1125	20588	12323
1126	20603	12303
1127	20618	12283
1128	20634	12263
1129	20651	12244
1130	20670	12226
1131	20686	12207
1132	20701	12187
1133	20715	12166
1134	20731	12146
1135	20748	12127
1136	20763	12107
1137	20781	12089
1138	20797	12069
1139	20813	12049
1140	20829	12030
1141	20847	12011
1142	20863	11992
1143	20880	11973
1144	20897	11954
1145	20912	11934
1146	20929	11915
1147	20944	11895
1148	20960	11875
1149	20976	11856
1150	20990	11835
1151	21006	11816
1152	21020	11795
1153	21036	11776
1154	21051	11756
1155	21067	11736
1156	21082	11716
1157	21097	11696
1158	21114	11677
1159	21131	11658
1160	21148	11639
1161	21162	11619
1162	21177	11599
1163	21192	11579
1164	21207	11559
1165	21224	11540
1166	21240	11521
1167	21256	11501
1168	21271	11481
1169	21288	11463
1170	21305	11444
1171	21320	11424
1172	21337	11405
1173	21355	11387
1174	21370	11367
1175	21385	11347
1176	21400	11327
1177	21416	11308
1178	21433	11289
1179	21449	11270
1180	21466	11251
1181	21481	11231
1182	21496	11211
1183	21512	11192
1184	21528	11172
1185	21544	11153
1186	21559	11134
1187	21575	11114
1188	21590	11095
1189	21606	11075
1190	21622	11056
1191	21638	11037
1192	21655	11018
1193	21670	10998
1194	21686	10979
1195	21702	10960
1196	21718	10940
1197	21734	10921
1198	21750	10902
1199	21767	10883
1200	21784	10865
